	Histologic_origin	AVE_Ubi	Ubi_level	ATG10	ATG7	CDC20	CUL1	DDB2	ELOB	GTF3C1	HERC6	ITCH	MDM2	PPP2R2C	REN	RNF43	SPOP	TAF3	UBA7	UBE2C	UBE2T	VHL	WDR76
GSM5556191	Lymph node	102.7420485	low	71.81956	80.84068	82.32162	119.79825	93.25409	151.57558	75.4009	55.6483	98.30783	162.04167	151.95835	130.58544	79.42016	109.69848	87.45538	124.32861	136.51146	71.09732	92.21409	80.5632
GSM5556200	Lymph node	103.150985	low	89.75077	102.79771	72.78451	112.19729	101.83563	140.55182	97.5079	76.07062	97.94982	84.06295	150.03661	133.08256	101.52319	128.93788	89.49137	111.53626	115.81239	78.60637	101.52074	76.96331
GSM5556201	Lymph node	104.9231965	low	99.90409	101.97569	81.54038	107.44239	85.14612	113.90292	99.15787	88.65802	95.17335	91.34367	149.53923	116.86131	104.26431	126.36812	103.94738	118.55743	159.04884	82.33767	89.66967	83.62547
GSM5556197	Lymph node	105.911084	low	80.17405	82.79434	79.6952	116.17746	91.3554	146.10921	80.22772	60.92044	100.75332	142.44718	157.71756	189.11488	89.14604	109.69229	88.83719	122.33894	126.39032	74.50584	97.08102	82.74328
GSM5556190	Lymph node	105.934123	low	82.94597	81.69486	83.23078	115.16861	92.9198	143.55314	77.65344	60.09153	99.64213	143.99087	156.05969	151.74589	89.75988	111.67126	94.16587	124.46645	147.87496	79.46285	96.46366	86.12082
GSM5556156	Lymph node	107.122295	high	84.62822	110.69384	87.88637	127.80262	77.34429	120.03061	97.84059	143.11808	111.19505	136.66775	80.70977	90.89383	119.5812	106.72943	100.84439	142.21946	117.44269	100.01453	97.62515	89.17803
GSM5556162	Lymph node	107.4688135	high	79.621	90.25467	123.58529	146.17294	91.906	144.24096	113.88547	105.45805	139.69361	130.30724	71.59418	83.83025	84.23174	128.80733	86.92347	132.87075	129.01631	97.005	80.79074	89.18127
GSM5556155	Lymph node	107.503429	high	96.72739	116.47055	82.59244	130.77596	97.26538	121.52015	110.21201	162.09844	115.97303	129.22128	86.94239	97.39007	91.87332	101.73713	95.73547	138.24898	111.22429	86.95212	89.54988	87.5583
GSM5556161	Lymph node	110.2786105	high	91.64944	103.44781	103.07883	147.62522	112.22913	111.10619	128.0488	97.17638	141.65329	122.07929	71.92422	86.94375	85.16032	110.51949	87.7851	164.87293	164.99295	96.7456	84.86343	93.67004
GSM5556160	Lymph node	111.8322085	high	71.78828	98.49792	151.22805	145.76539	91.73355	160.46803	126.52453	95.18808	139.74196	142.96126	60.53285	69.02478	61.91043	108.91532	80.18877	151.34219	200.32893	126.92792	70.77443	82.8015
GSM5556151	Lymph node	113.0434415	high	85.1354	104.06988	140.75211	130.58433	103.03508	133.8796	122.63547	90.93267	134.99087	129.50383	79.10822	86.54765	85.34162	117.82223	98.45999	155.67016	175.96571	107.973	87.65271	90.8083
GSM5556147	Lymph node	116.6332875	high	91.16546	93.00778	167.88718	131.57863	107.62532	141.31664	125.03058	93.54307	119.03381	134.63583	85.50846	86.22101	88.19776	111.18665	100.68832	139.07236	213.25642	110.68594	84.81483	108.2097
GSM5556143	Lymph node	117.000632	high	74.80791	96.35756	180.81525	139.27865	100.45224	128.76851	120.20016	90.58769	121.16143	116.31986	80.94472	90.89963	89.45936	105.61317	95.25305	155.91013	235.79172	127.05225	80.22721	110.11214
GSM5556152	Lymph node	117.4808865	high	109.63592	101.95667	141.26792	132.37353	114.54928	128.48923	122.18234	100.4278	110.70337	108.1926	98.08416	111.82595	103.93628	108.60239	104.26678	134.25457	214.22055	112.32742	90.71618	101.60479
